n  v(n)  Re(T)  Im(T)  Mod(T) 
260  124  98.19992  -88.83641  132.42029  
261  0  39.264374  31.780434  50.514225  
262  0  171.71115  -125.306404  212.57097  
263  0  110.50192  -165.47594  198.9798  
264  0  -96.45528  -144.88423  174.05476  
265  0  75.57996  27.699127  80.4958  
266  127  10.686279  191.90472  192.20203  
267  123  -100.79098  -62.0692  118.36979  
268  124  -90.90741  31.161827  96.10004  
269  125  -32.49586  25.244125  41.149082  
270  127  -46.589123  -122.723045  131.26878  
271  0  31.048325  8.952164  32.31315  
272  0  -64.86932  116.63116  133.45732  
273  0  -23.318806  -139.1315  141.07211  
274  0  -9.532211  -14.7560425  17.567123  
275  0  -122.87392  -75.58594  144.26099  
276  125  66.350464  -57.584244  87.85402  
277  128  -24.42947  -28.923416  37.85978  
278  123  83.59045  -77.71228  114.133965  
279  130  41.593063  67.60883  79.37844  
280  128  161.71373  -2.0031815  161.72614  
281  0  44.21382  112.66823  121.03302  
282  0  -69.645096  42.026413  81.34285  
283  0  -35.01933  -39.64216  52.894745  
284  0  75.270256  -68.880775  102.03025  
285  0  31.125786  55.724617  63.828266  
286  127  -1.5380783  -182.34528  182.35178  
287  123  -55.224365  179.05084  187.3738  
288  123  150.14267  -132.71423  200.38934  
289  127  193.52657  -0.30760193  193.52681  
290  127  -24.364883  -137.146  139.29347  
291  0  -52.306202  52.588936  74.17233  
292  0  22.325203  49.328987  54.145763  
293  0  65.56823  -246.09384  254.67896  
294  0  66.366264  159.37468  172.64058  
295  0  22.351814  -82.58739  85.55863  
296  128  86.686935  20.720741  89.128975  
297  128  -66.13757  -47.72535  81.559105  
298  121  -3.7211685  53.398087  53.52759  
299  123  23.7734  108.95018  111.51375  
300  124  -44.35775  -22.091553  49.55448  
301  0  42.066788  64.86224  77.30929  
302  0  -20.722733  75.24419  78.04562  
303  0  -70.21591  96.29911  119.179665  
304  0  -114.24223  104.922485  155.11292  
305  0  -138.77118  97.58529  169.64766  
306  131  8.542343  47.951324  48.706276  
307  126  -49.33302  -9.575607  50.253746  
308  128  -55.74293  -160.86746  170.25162  
309  131  6.5292053  -84.03819  84.29145  
310  127  28.040146  57.62137  64.08176  
311  0  25.79506  39.28692  46.998375  
312  0  21.812958  194.52931  195.74846  
313  0  38.225525  12.373512  40.178284  
314  0  166.88225  40.974068  171.83876  
315  0  64.208115  -97.2119  116.50252  
316  124  -58.125168  51.85476  77.893845  
317  123  -201.26031  -86.130165  218.91579  
318  129  47.748528  39.250725  61.810528  
319  127  -11.350708  92.878624  93.56964  
320  131  92.72698  -102.44561  138.17885  
321  0  35.85827  -22.67421  42.425644  
322  0  -2.1675797  74.943085  74.97443  
323  0  80.354996  200.9816  216.44983  
324  0  191.42523  -35.792  194.74261  
325  0  98.290665  -193.72508  217.23366  
326  130  -0.46385956  -60.690903  60.692677  
327  125  -37.121674  12.799019  39.26619  
328  125  -84.683586  151.75357  173.78279  
329  120  -8.685402  95.396286  95.790855  
330  117  31.005219  12.400002  33.392868  
331  0  81.16673  12.365204  82.10321  
332  0  53.0579  42.524597  67.99619  
333  0  80.132164  -90.31804  120.74151  
334  0  55.371864  93.07662  108.301895  
335  0  -18.2836  106.485855  108.0441  
336  126  -76.89299  135.61693  155.89896  
337  126  -47.051376  -50.82431  69.259964  
338  119  -55.84373  117.35468  129.96402  
339  126  -11.814026  -134.31665  134.8352  
340  128  204.93716  -26.456997  206.63788  
341  0  -9.869698  16.414913  19.153597  
342  0  185.48825  123.154755  222.64992  
343  0  227.6752  138.12271  266.2966  
344  0  -1.8795776  -172.61899  172.62923  
345  0  39.911713  85.99199  94.80278  
346  128  -249.10796  63.463238  257.06488  
347  123  126.26228  -95.22995  158.14836  
348  132  76.76528  -27.341091  81.48892  
349  115  29.465836  91.9371  96.543594  
350  129  -33.944397  -81.02417  87.847244  
351  0  -94.50492  -7.814827  94.82748  
352  0  -93.837006  7.2642975  94.11777  
353  0  51.88613  -45.522182  69.02492  
354  0  -47.31305  48.01518  67.409065  
355  0  -141.90535  -50.03179  150.46696  
356  126  36.565437  64.1069  73.80194  
357  124  20.297852  5.9875565  21.162552  
358  129  71.372894  147.72627  164.06444  
359  141  -160.1272  14.924408  160.8212  
360  125  7.4342117  124.895966  125.11702  
361  0  -124.42123  201.93059  237.18474  
362  0  -191.20226  -78.063034  206.52394  
363  0  -32.414192  -74.716965  81.4451  
364  0  12.881294  -34.91651  37.216805  
365  0  -20.788643  146.32156  147.79095  
366  134  45.685226  -1.5721893  45.71227  
367  129  -76.32728  64.99721  100.25214  
368  119  18.612366  58.881943  61.75357  
369  126  3.183899  161.95038  161.98167  
370  128  62.46708  -10.651861  63.368748  
371  0  -52.35778  -118.16272  129.24304  
372  0  63.98929  -67.02124  92.66324  
373  0  242.73772  -48.169582  247.47102  
374  0  -178.74036  248.97171  306.48822  
375  0  -24.640152  -59.415123  64.3218  
376  121  87.34413  66.3874  109.71  
377  117  1.0898285  -235.04779  235.05032  
378  130  17.870422  -110.652756  112.0865  
379  125  -22.197388  86.411804  89.217285  
380  129  102.64356  -87.32034  134.76106  
381  0  15.318855  107.308624  108.39653  
382  0  -150.59131  -19.084698  151.7958  
383  0  -12.961845  11.667589  17.43967  
384  0  -80.4446  -14.509865  81.74271  
385  0  -74.4444  -22.735195  77.83866  
386  122  -77.896675  25.777317  82.05097  
387  126  4.8689957  -10.366148  11.452691  
388  119  -2.4844666  -130.87102  130.89459  
389  128  94.57108  -66.7097  115.7319  
390  129  -15.32782  25.559237  29.802963  
391  0  -36.005165  76.37101  84.43283  
392  0  -244.01404  133.7759  278.27835  
393  0  -38.12329  82.3709  90.765366  
394  0  -22.133896  126.904915  128.82068  
395  0  156.22998  -18.120634  157.27734  
396  125  -9.978592  -106.1993  106.66707  
397  139  -82.73893  -192.11949  209.17847  
398  124  -74.38627  16.443298  76.18201  
399  115  -118.431404  6.4649553  118.60773  
400  120  10152.0  10.799157  10152.006  
401  0  -124.83418  -7.091489  125.035446  
402  0  -77.526634  -16.825272  79.33138  
403  0  -85.31321  191.49298  209.63756  
404  0  -11.479485  105.41535  106.03855  
405  0  154.79245  17.784054  155.81071  
406  126  -23.190384  -127.56771  129.65845  
407  132  -39.192276  -82.83078  91.634995  
408  129  -244.37248  -134.47566  278.9294  
409  128  -36.420517  -76.65836  84.87025  
410  123  -15.6215515  -25.64674  30.029787  
411  0  93.72197  66.55882  114.95166  
412  0  -3.3240738  130.71713  130.75938  
413  0  4.3423767  10.04158  10.940273  
414  0  -78.252235  -26.184467  82.5169  
415  0  -75.051506  22.300364  78.29454  
416  125  -80.67724  14.011398  81.884895  
417  135  -13.239647  -12.291008  18.065357  
418  133  -150.86423  18.385448  151.9804  
419  118  15.508667  -107.75946  108.869736  
420  125  102.276184  87.260345  134.4425  
421  0  -22.254456  -86.71852  89.52856  
422  0  17.485893  110.43903  111.81474  
423  0  0.5169678  234.53015  234.53072  
424  0  87.3479  -66.95759  110.05896  
425  0  -24.945686  58.796158  63.869205  
426  128  -178.28726  -249.79196  306.89148  
427  120  242.58542  48.38771  247.36421  
428  124  63.560402  66.745316  92.16757  
429  126  -52.754677  117.40693  128.71458  
430  122  62.254272  10.206018  63.08532  
431  0  3.3659286  -162.50888  162.54373  
432  0  18.378304  -59.17678  61.964935  
433  0  -76.4164  -65.56743  100.690384  
434  0  45.384132  1.1286926  45.398167  
435  0  -20.819077  -146.75047  148.21988  
436  126  12.691772  34.74477  36.990273  
437  131  -32.866615  74.46156  81.3925  
438  144  -191.5306  77.24671  206.52124  
439  128  -124.03532  -202.68976  237.62975  
440  155  7.6071396  -125.1956  125.4265  
441  0  -160.20178  -15.612125  160.96071  
442  0  71.80989  -147.87924  164.39261  
443  0  20.30822  -6.279869  21.257011  
444  0  36.65889  -64.10845  73.849625  
445  0  -141.93246  49.645245  150.36447  
446  124  -47.10298  -48.452084  67.57437  
447  123  51.731224  45.453056  68.86291  
448  125  -93.684555  -7.780407  94.00708  
449  124  -94.33668  7.394779  94.62606  
450  121  -33.956543  80.51648  87.38393  
451  0  29.711243  -92.2798  96.94493  
452  0  76.79454  27.197075  81.46829  
453  0  126.133415  95.233406  158.04759  
454  0  -248.94968  -64.54588  257.1811  
455  0  40.27974  -86.29833  95.23581  
456  126  -2.0379105  172.12239  172.13445  
457  117  228.16019  -138.53563  266.92545  
458  118  186.14088  -123.40625  223.33278  
459  129  -9.979546  -16.659508  19.41985  
460  125  204.71866  26.525742  206.43  
461  0  -12.230202  133.67189  134.23022  
462  0  -55.73738  -117.66661  130.20018  
463  0  -47.12091  50.289066  68.91567  
464  0  -76.87618  -136.43468  156.60258  
465  0  -17.95848  -106.77931  108.27894  
466  128  55.57659  -93.235725  108.54335  
467  124  80.15998  90.30168  120.747734  
468  130  53.033226  -42.82518  68.16538  
469  114  81.11174  -12.564812  82.07916  
470  129  31.086205  -12.812378  33.623047  
471  0  -8.694443  -95.66216  96.05646  
472  0  -84.46686  -152.20721  174.07379  
473  0  -37.012917  -12.926506  39.205235  
474  0  -0.5219345  60.239105  60.241367  
475  0  98.10101  193.41696  216.87308  
476  127  191.2545  35.84807  194.58511  
477  113  80.591354  -201.0951  216.64304  
478  135  -2.2141724  -75.09361  75.12625  
479  120  36.175674  22.546906  42.62678  
480  122  92.33218  102.34179  137.83713  
481  0  -11.106239  -93.41859  94.07646  
482  0  47.64544  -39.465057  61.867428  
483  0  -201.47142  85.25236  218.76631  
484  0  -57.66606  -52.446083  77.94849  
485  0  64.062035  96.879875  116.14497  
486  121  167.2921  -41.094566  172.26552  
487  123  38.136124  -12.707527  40.197575  
488  99  22.213371  -194.8631  196.12512  
489  125  25.92775  -39.50219  47.25115  
