x-axis,1,2
second,Volt,Volt
-6.0400E+00,,
-6.0300E+00,,
-6.0200E+00,,
-6.0100E+00,,
-6.0000E+00,,
-5.9900E+00,,
-5.9800E+00,,
-5.9700E+00,,
-5.9600E+00,,
-5.9500E+00,,
-5.9400E+00,,
-5.9300E+00,,
-5.9200E+00,,
-5.9100E+00,,
-5.9000E+00,,
-5.8900E+00,,
-5.8800E+00,,
-5.8700E+00,,
-5.8600E+00,,
-5.8500E+00,,
-5.8400E+00,,
-5.8300E+00,,
-5.8200E+00,,
-5.8100E+00,,
-5.8000E+00,,
-5.7900E+00,,
-5.7800E+00,,
-5.7700E+00,,
-5.7600E+00,,
-5.7500E+00,,
-5.7400E+00,,
-5.7300E+00,,
-5.7200E+00,,
-5.7100E+00,,
-5.7000E+00,,
-5.6900E+00,,
-5.6800E+00,,
-5.6700E+00,,
-5.6600E+00,,
-5.6500E+00,,
-5.6400E+00,,
-5.6300E+00,,
-5.6200E+00,,
-5.6100E+00,,
-5.6000E+00,,
-5.5900E+00,,
-5.5800E+00,,
-5.5700E+00,,
-5.5600E+00,,
-5.5500E+00,,
-5.5400E+00,,
-5.5300E+00,,
-5.5200E+00,,
-5.5100E+00,,
-5.5000E+00,,
-5.4900E+00,,
-5.4800E+00,,
-5.4700E+00,,
-5.4600E+00,,
-5.4500E+00,,
-5.4400E+00,,
-5.4300E+00,,
-5.4200E+00,,
-5.4100E+00,,
-5.4000E+00,,
-5.3900E+00,,
-5.3800E+00,,
-5.3700E+00,,
-5.3600E+00,,
-5.3500E+00,,
-5.3400E+00,,
-5.3300E+00,,
-5.3200E+00,,
-5.3100E+00,,
-5.3000E+00,,
-5.2900E+00,,
-5.2800E+00,,
-5.2700E+00,,
-5.2600E+00,,
-5.2500E+00,,
-5.2400E+00,,
-5.2300E+00,,
-5.2200E+00,,
-5.2100E+00,,
-5.2000E+00,,
-5.1900E+00,,
-5.1800E+00,,
-5.1700E+00,,
-5.1600E+00,,
-5.1500E+00,,
-5.1400E+00,,
-5.1300E+00,,
-5.1200E+00,,
-5.1100E+00,,
-5.1000E+00,,
-5.0900E+00,,
-5.0800E+00,,
-5.0700E+00,,
-5.0600E+00,,
-5.0500E+00,,
-5.0400E+00,,
-5.0300E+00,,
-5.0200E+00,,
-5.0100E+00,,
-5.0000E+00,-267.6E-03,-45.8E-03
-4.9900E+00,-368.1E-03,-295.1E-03
-4.9800E+00,-307.8E-03,-198.6E-03
-4.9700E+00,-448.5E-03,-381.5E-03
-4.9600E+00,-508.8E-03,-431.7E-03
-4.9500E+00,-6.3E-03,-395.6E-03
-4.9400E+00,-147.0E-03,-258.9E-03
-4.9300E+00,-126.9E-03,-347.3E-03
-4.9200E+00,+375.6E-03,-311.1E-03
-4.9100E+00,+295.2E-03,-172.4E-03
-4.9000E+00,+214.8E-03,-210.6E-03
-4.8900E+00,+275.1E-03,-234.8E-03
-4.8800E+00,+295.2E-03,+50.7E-03
-4.8700E+00,+275.1E-03,-76.0E-03
-4.8600E+00,+134.4E-03,-202.6E-03
-4.8500E+00,+54.0E-03,+64.7E-03
-4.8400E+00,+375.6E-03,+82.8E-03
-4.8300E+00,-267.6E-03,+82.8E-03
-4.8200E+00,+13.8E-03,+34.6E-03
-4.8100E+00,-207.3E-03,-27.7E-03
-4.8000E+00,-428.4E-03,-190.5E-03
-4.7900E+00,-368.1E-03,-264.9E-03
-4.7800E+00,-428.4E-03,-190.5E-03
-4.7700E+00,-307.8E-03,-53.9E-03
-4.7600E+00,-589.2E-03,-455.9E-03
-4.7500E+00,-247.5E-03,-325.2E-03
-4.7400E+00,-187.2E-03,-210.6E-03
-4.7300E+00,-126.9E-03,-474.0E-03
-4.7200E+00,-26.4E-03,-488.0E-03
-4.7100E+00,-247.5E-03,-514.2E-03
-4.7000E+00,-106.8E-03,-234.8E-03
-4.6900E+00,+13.8E-03,-178.5E-03
-4.6800E+00,+134.4E-03,-455.9E-03
-4.6700E+00,+114.3E-03,+4.4E-03
-4.6600E+00,+255.0E-03,-178.5E-03
-4.6500E+00,+295.2E-03,+102.9E-03
-4.6400E+00,+134.4E-03,+171.3E-03
